Tanggal,Wilayah,PM10,SO2,CO,O3,NO2,Max,Critical,Kategori
4/9/2017,DKI1,23,7,14,31,1,31,O3,BAIK
4/10/2017,DKI1,46,8,20,55,6,55,O3,SEDANG
4/11/2017,DKI1,43,7,23,73,4,73,O3,SEDANG
4/12/2017,DKI1,39,9,26,47,5,47,O3,BAIK
4/13/2017,DKI1,56,8,26,34,5,56,PM10,SEDANG
4/14/2017,DKI1,55,8,24,45,5,55,PM10,SEDANG
4/15/2017,DKI1,61,9,20,45,3,61,PM10,SEDANG
4/16/2017,DKI1,73,9,26,69,5,73,PM10,SEDANG
4/17/2017,DKI1,65,10,24,76,6,76,O3,SEDANG
4/18/2017,DKI1,79,7,26,86,7,86,O3,SEDANG
4/19/2017,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
4/20/2017,DKI1,---,---,---,---,---,,,TIDAK ADA DATA
4/21/2017,DKI1,57,10,24,65,7,65,O3,SEDANG
4/22/2017,DKI1,71,8,31,56,6,71,PM10,SEDANG
4/23/2017,DKI1,53,11,22,67,5,67,O3,SEDANG
4/24/2017,DKI1,50,12,17,43,5,50,PM10,BAIK
4/25/2017,DKI1,68,10,30,35,4,68,PM10,SEDANG
4/26/2017,DKI1,47,10,18,44,6,47,PM10,BAIK
4/27/2017,DKI1,61,11,33,82,6,82,O3,SEDANG
4/28/2017,DKI1,53,10,28,51,5,53,PM10,SEDANG
4/29/2017,DKI1,39,10,17,32,2,39,PM10,BAIK
4/30/2017,DKI1,43,11,18,89,3,89,O3,SEDANG
5/1/2017,DKI1,57,12,20,88,4,88,O3,SEDANG
5/2/2017,DKI1,50,8,27,67,4,67,O3,SEDANG
5/3/2017,DKI1,62,10,34,86,4,86,O3,SEDANG
5/4/2017,DKI1,49,9,22,68,4,68,O3,SEDANG
5/5/2017,DKI1,51,11,23,53,4,53,O3,SEDANG
5/6/2017,DKI1,49,10,22,31,5,49,PM10,BAIK
5/7/2017,DKI1,53,8,26,48,6,53,PM10,SEDANG
5/8/2017,DKI1,55,10,27,52,3,55,PM10,SEDANG
5/9/2017,DKI1,54,11,30,42,5,54,PM10,SEDANG
5/10/2017,DKI1,64,11,28,35,4,64,PM10,SEDANG
5/11/2017,DKI1,76,14,28,87,5,87,O3,SEDANG
5/12/2017,DKI1,71,15,25,78,5,78,O3,SEDANG
5/13/2017,DKI1,59,12,20,80,5,80,O3,SEDANG
5/14/2017,DKI1,50,12,20,76,3,76,O3,SEDANG
5/15/2017,DKI1,20,15,19,91,5,91,O3,SEDANG
5/16/2017,DKI1,53,11,21,78,6,78,O3,SEDANG
5/17/2017,DKI1,60,11,24,56,7,60,PM10,SEDANG
5/18/2017,DKI1,56,11,20,81,9,81,O3,SEDANG
5/19/2017,DKI1,46,11,23,85,7,85,O3,SEDANG
5/20/2017,DKI1,59,15,18,64,6,64,O3,SEDANG
5/21/2017,DKI1,51,14,19,53,3,53,O3,SEDANG
5/22/2017,DKI1,35,14,19,53,5,53,O3,SEDANG
5/23/2017,DKI1,44,13,21,85,11,85,O3,SEDANG
5/24/2017,DKI1,61,17,20,82,8,82,O3,SEDANG
5/25/2017,DKI1,69,14,19,87,4,87,O3,SEDANG
5/26/2017,DKI1,54,13,20,134,9,134,O3,TIDAK SEHAT
5/27/2017,DKI1,69,14,24,79,8,79,O3,SEDANG
5/28/2017,DKI1,58,15,16,65,4,65,O3,SEDANG
5/29/2017,DKI1,36,12,20,31,3,36,PM10,BAIK
5/30/2017,DKI1,61,18,23,29,3,61,PM10,SEDANG
5/31/2017,DKI1,56,15,17,26,3,56,PM10,SEDANG
6/1/2017,DKI1,41,11,20,23,3,41,PM10,BAIK
6/2/2017,DKI1,53,14,25,75,4,75,O3,SEDANG
6/3/2017,DKI1,71,15,21,75,4,75,O3,SEDANG
6/4/2017,DKI1,42,13,23,72,5,72,O3,SEDANG
6/5/2017,DKI1,36,12,28,55,5,55,O3,SEDANG
6/6/2017,DKI1,31,12,19,63,6,63,O3,SEDANG
6/7/2017,DKI1,41,16,18,32,4,41,PM10,BAIK
6/8/2017,DKI1,38,21,18,31,3,38,PM10,BAIK
6/9/2017,DKI1,51,20,17,47,3,51,PM10,SEDANG
6/10/2017,DKI1,50,13,20,77,4,77,O3,SEDANG
6/11/2017,DKI1,57,13,19,56,5,57,PM10,SEDANG
6/12/2017,DKI1,52,13,17,48,4,52,PM10,SEDANG
6/13/2017,DKI1,54,14,23,70,6,70,O3,SEDANG
6/14/2017,DKI1,54,12,20,49,7,54,PM10,SEDANG
6/15/2017,DKI1,51,13,20,44,5,51,PM10,SEDANG
6/16/2017,DKI1,50,16,18,32,2,50,PM10,BAIK
6/17/2017,DKI1,42,15,18,55,3,55,O3,SEDANG
6/18/2017,DKI1,51,12,24,67,3,67,O3,SEDANG
6/19/2017,DKI1,34,14,21,84,4,84,O3,SEDANG
6/20/2017,DKI1,52,17,18,63,7,63,O3,SEDANG
6/21/2017,DKI1,63,19,21,65,4,65,O3,SEDANG
6/22/2017,DKI1,58,17,29,36,4,58,PM10,SEDANG
6/23/2017,DKI1,60,18,27,40,4,60,PM10,SEDANG
6/24/2017,DKI1,40,14,19,30,2,40,PM10,BAIK
6/25/2017,DKI1,55,15,27,31,2,55,PM10,SEDANG
6/26/2017,DKI1,12,12,14,29,1,29,O3,BAIK
6/27/2017,DKI1,20,11,15,33,2,33,O3,BAIK
6/28/2017,DKI1,28,13,25,33,3,33,O3,BAIK
6/29/2017,DKI1,33,12,19,46,3,46,O3,BAIK
6/30/2017,DKI1,29,11,16,57,3,57,O3,SEDANG
7/1/2017,DKI1,27,13,22,42,3,42,O3,BAIK
7/2/2017,DKI1,49,14,18,39,3,49,PM10,BAIK
7/3/2017,DKI1,45,13,14,48,2,48,O3,BAIK
7/4/2017,DKI1,35,14,16,53,2,53,O3,SEDANG
7/5/2017,DKI1,60,13,18,80,6,80,O3,SEDANG
7/6/2017,DKI1,49,14,19,90,7,90,O3,SEDANG
7/7/2017,DKI1,66,16,21,141,7,141,O3,TIDAK SEHAT
7/8/2017,DKI1,79,17,28,94,6,94,O3,SEDANG
7/9/2017,DKI1,38,15,16,58,3,58,O3,SEDANG
7/10/2017,DKI1,24,13,19,54,5,54,O3,SEDANG
7/11/2017,DKI1,30,15,19,73,5,73,O3,SEDANG
7/12/2017,DKI1,27,14,19,74,5,74,O3,SEDANG
