,PM10,SO2,CO,O3,NO2,Max
1730,0.47058823529411764,0.46470588235294114,0.14285714285714285,0.18340611353711792,0.10273972602739725,0.32905982905982906
1731,0.4235294117647059,0.49215686274509807,0.1,0.19213973799126638,0.07534246575342465,0.3034188034188034
1732,0.4823529411764706,0.5490196078431373,0.12857142857142856,0.25327510917030566,0.0958904109589041,0.34615384615384615
1733,0.6823529411764706,0.6078431372549019,0.15714285714285714,0.25327510917030566,0.1506849315068493,0.44871794871794873
1734,0.5176470588235295,0.5686274509803921,0.12857142857142856,0.26200873362445415,0.0958904109589041,0.358974358974359
1735,0.6705882352941176,0.5882352941176471,0.12857142857142856,0.2314410480349345,0.10273972602739725,0.44017094017094016
1736,0.6,0.5980392156862745,0.14285714285714285,0.2096069868995633,0.1095890410958904,0.36752136752136755
1737,0.5764705882352941,0.5784313725490197,0.14285714285714285,0.2576419213973799,0.1506849315068493,0.405982905982906
1738,0.611764705882353,0.6470588235294118,0.14285714285714285,0.21397379912663755,0.17123287671232876,0.38461538461538464
1739,0.611764705882353,0.6372549019607843,0.11428571428571428,0.2314410480349345,0.14383561643835616,0.3888888888888889
1740,0.4235294117647059,0.5784313725490197,0.11428571428571428,0.1965065502183406,0.1232876712328767,0.27350427350427353
1741,0.5529411764705883,0.6176470588235294,0.12857142857142856,0.21397379912663755,0.1232876712328767,0.36324786324786323
1742,0.47058823529411764,0.5980392156862745,0.11428571428571428,0.24017467248908297,0.11643835616438356,0.32905982905982906
1743,0.5529411764705883,0.5882352941176471,0.11428571428571428,0.2925764192139738,0.0684931506849315,0.3547008547008547
1744,0.6470588235294118,0.6176470588235294,0.15714285714285714,0.2663755458515284,0.1643835616438356,0.42735042735042733
1745,0.7529411764705882,0.7352941176470589,0.15714285714285714,0.19213973799126638,0.19863013698630136,0.44871794871794873
1746,0.5176470588235295,0.6078431372549019,0.11428571428571428,0.2314410480349345,0.1095890410958904,0.3247863247863248
1747,0.7058823529411765,0.6274509803921569,0.15714285714285714,0.2838427947598253,0.1780821917808219,0.44871794871794873
1748,0.8117647058823529,0.6176470588235294,0.17142857142857143,0.2576419213973799,0.17123287671232876,0.46153846153846156
1749,0.6,0.6078431372549019,0.17142857142857143,0.25327510917030566,0.1780821917808219,0.405982905982906
1750,0.6823529411764706,0.6078431372549019,0.15714285714285714,0.26200873362445415,0.136986301369863,0.3034188034188034
1751,0.43529411764705883,0.5588235294117647,0.11428571428571428,0.17467248908296942,0.07534246575342465,0.2564102564102564
1752,0.38823529411764707,0.5784313725490197,0.21428571428571427,0.1615720524017467,0.18493150684931506,0.2692307692307692
1753,0.43529411764705883,0.7058823529411765,0.14285714285714285,0.1965065502183406,0.1643835616438356,0.31196581196581197
1754,0.4588235294117647,0.5882352941176471,0.11428571428571428,0.22707423580786026,0.1506849315068493,0.2905982905982906
1755,0.7058823529411765,0.7941176470588235,0.18571428571428572,0.17903930131004367,0.2465753424657534,0.49145299145299143
1756,0.6352941176470588,0.7843137254901961,0.12857142857142856,0.2096069868995633,0.1780821917808219,0.405982905982906
1757,0.5764705882352941,0.5784313725490197,0.15714285714285714,0.24890829694323144,0.13013698630136986,0.41025641025641024
1758,0.611764705882353,0.5980392156862745,0.15714285714285714,0.2838427947598253,0.17123287671232876,0.42735042735042733
1759,0.5882352941176471,0.6470588235294118,0.17142857142857143,0.1965065502183406,0.2054794520547945,0.3547008547008547
1760,0.5764705882352941,0.6176470588235294,0.12857142857142856,0.19213973799126638,0.13013698630136986,0.36752136752136755
1761,0.4470588235294118,0.6470588235294118,0.15714285714285714,0.19213973799126638,0.1917808219178082,0.29914529914529914
1762,0.4823529411764706,0.7745098039215687,0.18571428571428572,0.19213973799126638,0.1643835616438356,0.3418803418803419
1763,0.6,0.7843137254901961,0.17142857142857143,0.22270742358078602,0.2054794520547945,0.38461538461538464
1764,0.5058823529411764,0.6078431372549019,0.15714285714285714,0.22270742358078602,0.1780821917808219,0.33760683760683763
1765,0.6,0.7450980392156863,0.15714285714285714,0.18777292576419213,0.1780821917808219,0.37606837606837606
1766,0.4470588235294118,0.11764705882352941,0.18571428571428572,0.19213973799126638,0.2191780821917808,0.29914529914529914
1767,0.4588235294117647,0.12745098039215685,0.2057142857142857,0.1572052401746725,0.17123287671232876,0.2222222222222222
1768,0.5882352941176471,0.18627450980392157,0.17142857142857143,0.25327510917030566,0.273972602739726,0.405982905982906
1769,0.6,0.24509803921568626,0.18571428571428572,0.17903930131004367,0.2191780821917808,0.358974358974359
1770,0.4470588235294118,0.11764705882352941,0.14285714285714285,0.2052401746724891,0.1643835616438356,0.31196581196581197
1771,0.3058823529411765,0.058823529411764705,0.12857142857142856,0.2183406113537118,0.10273972602739725,0.26495726495726496
1772,0.47058823529411764,0.42352941176470593,0.18571428571428572,0.14847161572052403,0.1643835616438356,0.31196581196581197
1773,0.5647058823529412,0.47647058823529415,0.14285714285714285,0.18340611353711792,0.1780821917808219,0.36752136752136755
1774,0.2235294117647059,0.296078431372549,0.11428571428571428,0.13537117903930132,0.13013698630136986,0.25213675213675213
1775,0.2823529411764706,0.2647058823529412,0.14285714285714285,0.13537117903930132,0.13013698630136986,0.24786324786324787
1776,0.24705882352941178,0.16666666666666666,0.11428571428571428,0.14410480349344978,0.11643835616438356,0.23076923076923078
1777,0.52,0.4823529411764706,0.21428571428571427,0.2052401746724891,0.15753424657534246,0.3333333333333333
1778,0.36235294117647054,0.3,0.17142857142857143,0.17903930131004367,0.11643835616438356,0.25213675213675213
1779,0.24705882352941178,0.3137254901960784,0.11428571428571428,0.13537117903930132,0.10273972602739725,0.24358974358974358
1780,0.17647058823529413,0.0392156862745098,0.1,0.1572052401746725,0.0821917808219178,0.2264957264957265
1781,0.5529411764705883,0.19607843137254902,0.14285714285714285,0.17467248908296942,0.17123287671232876,0.3418803418803419
1782,0.5294117647058824,0.12745098039215685,0.12857142857142856,0.22270742358078602,0.1506849315068493,0.34615384615384615
1783,0.2235294117647059,0.0392156862745098,0.08571428571428572,0.1615720524017467,0.0684931506849315,0.19230769230769232
1784,0.18823529411764706,0.058823529411764705,0.1,0.1572052401746725,0.0958904109589041,0.21367521367521367
1785,0.3176470588235294,0.058823529411764705,0.2,0.17467248908296942,0.1095890410958904,0.24786324786324787
