,0,1,2,3,4,5
0,73.0,31.0,19.0,33.0,5.0,73.0
1,39.0,29.0,4.0,33.0,3.0,39.0
2,51.0,30.0,7.0,36.0,3.0,51.0
3,45.0,33.0,7.0,63.0,7.0,63.0
4,54.0,30.0,16.0,68.0,9.0,68.0
5,34.0,30.0,9.0,65.0,8.0,65.0
6,48.0,31.0,5.0,62.0,4.0,62.0
7,37.0,31.0,10.0,52.0,5.0,52.0
8,30.0,31.0,6.0,68.0,4.0,68.0
9,54.0,32.0,21.0,66.0,9.0,66.0
10,40.0,30.0,13.0,54.0,9.0,54.0
11,22.0,30.0,7.0,32.0,3.0,32.0
12,22.0,29.0,3.0,29.0,1.0,29.0
13,23.0,29.0,4.0,29.0,1.0,29.0
14,35.0,20.8,12.0,30.8,7.0,35.0
15,41.0,14.0,16.2,34.2,8.4,41.0
16,15.0,29.0,4.0,31.0,2.0,31.0
17,26.0,29.0,7.0,30.0,4.0,30.0
18,24.0,29.0,4.0,29.0,2.6,29.0
19,27.0,30.0,5.0,30.0,4.0,30.0
20,47.0,32.0,10.0,55.0,4.0,55.0
21,54.0,32.0,10.0,50.0,5.0,54.0
22,45.0,33.0,6.0,48.0,4.0,48.0
23,18.8,16.8,5.0,26.6,3.0,5.0
24,30.0,30.0,5.8,29.0,3.8,30.0
25,39.0,32.0,7.0,53.0,3.0,53.0
26,57.0,33.0,13.0,60.0,8.0,60.0
27,41.0,31.0,10.0,44.0,4.0,44.0
28,27.0,30.0,9.0,32.0,5.0,32.0
29,30.0,31.0,14.0,54.0,2.0,54.0
30,32.0,31.0,8.0,41.0,4.0,41.0
31,26.0,32.0,9.0,44.0,4.0,44.0
32,24.0,31.0,8.0,37.0,4.0,37.0
33,39.0,30.0,12.0,30.0,7.0,39.0
34,14.0,30.0,3.0,24.0,1.8,30.0
35,13.0,52.4,44.6,18.6,53.4,13.0
36,13.0,52.4,44.6,18.6,53.4,13.0
37,19.0,32.6,30.6,23.0,49.4,19.0
38,26.0,31.0,4.0,33.0,3.2,33.0
39,23.0,31.0,6.0,28.0,3.0,31.0
40,16.0,31.0,5.0,40.0,3.0,40.0
41,27.0,31.0,8.0,45.0,4.0,45.0
42,34.0,30.0,13.0,43.0,7.0,43.0
43,37.0,31.0,10.0,56.0,7.0,56.0
44,34.0,32.0,19.0,58.0,8.0,58.0
45,23.0,32.0,5.0,51.0,6.0,51.0
46,25.0,31.0,7.0,55.0,6.0,55.0
47,34.0,13.4,9.0,32.2,4.6,34.0
48,44.0,20.4,18.6,42.2,7.0,44.0
49,71.0,31.0,23.0,47.0,10.0,71.0
50,60.0,31.0,20.0,36.0,8.0,60.0
51,45.0,31.0,34.0,45.0,10.0,45.0
52,56.0,34.0,20.0,76.0,8.0,76.0
53,43.0,32.0,13.0,112.0,9.0,112.0
54,41.0,31.0,15.0,106.0,7.0,106.0
55,48.0,31.0,9.0,69.0,5.0,69.0
56,39.0,31.0,14.0,123.0,11.0,123.0
57,32.0,31.0,9.0,81.0,4.0,81.0
58,55.0,31.0,22.0,98.0,11.0,98.0
59,58.0,32.0,16.0,83.0,8.0,83.0
60,49.0,35.0,24.0,75.0,6.0,75.0
61,51.0,31.0,20.0,66.0,8.0,66.0
62,34.0,31.0,17.0,112.0,6.0,112.0
63,48.0,32.0,16.0,107.0,9.0,107.0
64,47.0,32.0,10.0,63.0,5.0,63.0
65,49.0,32.0,16.0,69.0,10.0,69.0
66,30.0,32.0,12.0,58.0,7.0,58.0
67,44.0,33.0,11.0,95.0,12.0,95.0
68,68.0,32.0,21.0,81.0,11.0,81.0
69,61.0,32.0,19.0,120.0,10.0,120.0
70,61.0,32.0,21.0,84.0,9.0,84.0
71,65.0,32.0,19.0,71.0,12.0,71.0
72,62.0,34.0,11.0,46.0,5.0,62.0
73,61.0,33.0,8.0,40.0,5.0,61.0
74,49.0,34.0,8.0,76.0,4.0,76.0
75,69.0,34.0,11.0,76.0,11.0,76.0
76,51.0,32.0,9.0,58.0,6.0,58.0
77,51.44991108476586,22.036201780415432,16.99823943661972,68.13523131672598,9.91395908543923,77.0581797235023
78,51.44991108476586,22.036201780415432,16.99823943661972,68.13523131672598,9.91395908543923,77.0581797235023
79,51.44991108476586,22.036201780415432,16.99823943661972,68.13523131672598,9.91395908543923,77.0581797235023
80,47.0,40.0,11.0,53.0,9.0,53.0
81,53.0,42.0,24.0,65.0,11.0,65.0
82,66.0,50.0,44.0,125.0,8.0,125.0
83,58.0,43.0,15.0,73.0,7.0,73.0
84,63.0,54.0,32.0,35.0,7.0,63.0
85,50.0,47.0,13.0,83.0,9.0,83.0
86,53.0,47.0,25.0,47.0,7.0,53.0
87,54.0,50.0,17.0,42.0,6.0,54.0
88,37.0,45.0,11.0,47.0,3.0,47.0
89,31.0,38.0,4.0,34.0,2.0,38.0
90,44.0,43.0,9.0,59.0,4.0,59.0
91,34.0,39.0,12.0,67.0,7.0,67.0
92,37.0,41.0,15.0,45.0,7.0,45.0
93,51.44991108476586,22.036201780415432,16.99823943661972,68.13523131672598,9.91395908543923,77.0581797235023
94,48.0,33.0,16.0,35.0,7.0,48.0
95,16.0,33.0,4.0,28.0,2.0,33.0
96,24.0,33.0,4.0,33.0,2.0,33.0
97,16.0,32.0,3.0,25.0,1.8,32.0
98,23.0,33.0,6.0,31.0,3.0,33.0
99,37.0,35.0,16.0,45.0,10.0,45.0
100,31.0,36.0,16.0,102.0,9.0,102.0
101,21.0,34.0,9.0,110.0,11.0,110.0
102,21.0,34.0,9.0,108.0,12.0,108.0
103,31.0,34.0,15.0,81.0,8.0,81.0
104,34.0,34.0,12.0,82.0,7.0,82.0
105,46.0,34.0,17.0,91.0,6.0,91.0
106,33.0,38.0,11.0,92.0,7.0,92.0
107,55.0,35.0,15.0,91.0,9.0,91.0
108,58.0,38.0,14.0,113.0,6.0,113.0
109,28.0,36.0,14.0,97.0,8.0,97.0
110,57.0,36.0,13.0,82.0,6.0,82.0
111,61.0,34.0,10.0,88.0,10.0,88.0
112,41.0,35.0,17.0,123.0,6.0,123.0
113,46.0,36.0,8.0,95.0,12.0,95.0
114,68.0,35.0,18.0,82.0,8.0,82.0
115,44.0,34.0,9.0,51.0,7.0,51.0
116,49.0,34.0,15.0,65.0,5.0,65.0
117,47.0,35.0,8.0,58.0,6.0,58.0
118,39.0,35.0,10.0,34.0,5.0,39.0
119,32.0,35.0,7.0,76.0,4.0,76.0
120,57.0,39.0,18.0,102.0,15.0,102.0
121,39.0,33.0,16.0,85.0,5.0,85.0
122,52.0,34.0,27.0,112.0,10.0,112.0
123,43.0,34.0,10.0,87.0,5.0,87.0
124,37.0,34.0,13.0,94.0,6.0,94.0
125,45.0,35.0,14.0,71.0,11.0,71.0
126,42.0,35.0,17.0,74.0,8.0,74.0
127,45.0,35.0,16.0,83.0,8.0,83.0
128,58.0,35.0,18.0,77.0,8.0,77.0
129,66.0,35.0,14.0,61.0,8.0,66.0
130,67.0,35.0,25.0,104.0,10.0,104.0
131,87.0,35.0,18.0,117.0,9.0,117.0
132,59.0,35.0,10.0,105.0,12.0,105.0
133,60.0,35.0,9.0,92.0,6.0,92.0
134,66.0,38.0,13.0,115.0,11.0,115.0
135,67.0,36.0,13.0,108.0,7.0,108.0
136,78.0,35.0,14.0,93.0,11.0,93.0
137,61.0,34.0,7.0,72.0,10.0,72.0
138,97.0,35.0,24.0,120.0,9.0,120.0
139,68.0,36.0,12.0,111.0,7.0,111.0
140,61.0,36.0,9.0,89.0,7.0,89.0
141,59.0,37.0,7.0,98.0,9.0,98.0
142,62.0,35.0,9.0,88.0,8.0,88.0
143,76.0,38.0,11.0,102.0,11.0,102.0
144,70.0,37.0,8.0,91.0,5.0,91.0
145,73.0,37.0,11.0,102.0,7.0,102.0
146,78.0,37.0,9.0,164.0,9.0,164.0
147,61.0,38.0,6.0,79.0,5.0,79.0
148,59.0,35.0,6.0,62.0,5.0,62.0
149,57.0,38.0,10.0,52.0,6.0,57.0
150,51.0,37.0,6.0,56.0,8.0,56.0
151,21.0,34.0,4.0,37.0,3.0,37.0
