,0,1,2,3,4,5
0,52.0,21.0,11.0,61.0,11.0,61.0
1,27.0,18.0,5.0,40.0,15.0,40.0
2,32.0,18.0,7.0,55.0,10.0,55.0
3,23.0,19.0,8.6,61.0,15.0,61.0
4,28.0,16.0,6.0,57.0,12.0,57.0
5,29.0,17.0,11.0,62.0,13.0,62.0
6,31.0,18.0,11.0,55.0,20.0,55.0
7,28.0,19.0,7.0,52.0,14.0,52.0
8,25.0,18.0,6.0,48.0,11.0,48.0
9,42.0,23.0,11.0,83.0,16.0,83.0
10,33.0,18.0,11.0,65.0,20.0,65.0
11,29.0,18.0,12.0,65.0,19.0,65.0
12,25.0,17.0,8.0,29.0,5.0,29.0
13,21.0,16.0,8.0,29.0,6.0,29.0
14,13.0,17.0,8.0,42.0,7.0,42.0
15,17.0,17.0,7.0,34.0,6.0,34.0
16,18.0,18.0,30.0,48.0,14.0,48.0
17,54.83202687569989,26.776649746192895,13.318539325842696,67.0,15.154835103409726,74.4988986784141
18,54.83202687569989,26.776649746192895,13.318539325842696,67.0,15.154835103409726,74.4988986784141
19,22.0,18.0,5.0,30.0,6.0,30.0
20,40.0,23.0,9.0,39.0,10.0,40.0
21,37.0,18.0,7.0,32.0,11.0,37.0
22,31.0,20.0,10.8,51.0,12.0,51.0
23,32.0,22.0,7.0,34.0,15.0,34.0
24,26.0,20.0,7.0,34.0,15.0,34.0
25,25.0,21.0,10.4,47.0,13.0,47.0
26,34.0,22.0,10.0,49.0,14.0,49.0
27,26.0,22.0,9.0,49.0,10.0,49.0
28,31.0,20.0,5.0,48.0,10.0,48.0
29,22.0,21.0,11.0,38.0,9.0,38.0
30,32.0,21.0,11.0,32.0,18.0,32.0
31,27.0,21.0,13.0,36.0,12.0,36.0
32,37.0,22.0,18.0,36.0,16.0,37.0
33,37.0,21.0,19.0,45.0,13.0,45.0
34,20.0,20.0,9.0,38.0,7.0,38.0
35,21.0,18.0,5.0,37.0,5.0,37.0
36,22.0,18.0,6.0,34.0,7.0,34.0
37,25.0,19.0,6.0,33.0,8.0,33.0
38,25.0,19.0,10.0,28.0,12.0,28.0
39,35.0,18.0,11.0,41.0,14.0,41.0
40,28.0,17.0,11.0,44.0,12.0,44.0
41,30.0,18.0,14.0,43.0,11.0,43.0
42,25.0,16.0,5.0,44.0,12.0,44.0
43,33.0,18.0,11.0,53.0,12.0,53.0
44,37.0,18.0,17.0,47.0,14.0,47.0
45,21.0,18.0,10.0,46.0,12.0,46.0
46,22.0,18.0,11.0,46.0,11.0,46.0
47,29.0,21.0,18.0,50.0,15.0,50.0
48,51.0,20.0,14.0,36.0,13.0,51.0
49,54.0,19.0,25.0,36.0,11.0,54.0
50,35.0,17.0,16.0,31.0,11.0,35.0
51,57.0,25.0,31.0,65.0,17.0,65.0
52,47.0,27.0,13.0,130.0,21.0,130.0
53,53.0,26.0,22.0,96.0,16.0,96.0
54,74.0,40.0,22.0,70.0,21.0,74.0
55,39.0,19.0,15.0,90.0,26.0,90.0
56,59.0,27.0,15.0,67.0,13.0,67.0
57,29.0,21.0,12.0,50.0,13.0,50.0
58,46.0,21.0,22.0,48.0,15.0,48.0
59,52.0,18.0,17.0,67.0,18.0,67.0
60,55.0,20.0,22.0,47.2,18.0,55.0
61,47.0,17.0,20.0,41.6,19.0,47.0
62,30.0,17.0,13.0,30.8,9.0,30.0
63,47.0,18.0,19.0,42.6,16.0,47.0
64,30.0,15.0,10.0,60.0,12.0,60.0
65,31.0,18.0,9.0,55.0,12.0,55.0
66,30.0,18.0,16.0,67.0,26.0,67.0
67,51.0,24.0,12.0,119.0,16.0,119.0
68,77.0,52.0,20.0,41.0,17.0,77.0
69,66.0,32.0,15.0,60.0,17.0,66.0
70,53.0,19.0,19.0,54.0,17.0,54.0
71,51.0,18.0,15.0,81.0,24.0,81.0
72,66.0,25.0,13.0,74.0,25.0,74.0
73,41.0,17.0,11.0,30.0,17.0,41.0
