,0,1,2,3,4,5
121,62.0,39.0,15.0,85.0,7.0,85.0
122,39.4,41.0,19.0,36.6,9.0,41.0
123,55.0,42.0,13.0,48.2,10.0,55.0
124,56.0,42.0,12.0,58.0,11.0,58.0
125,48.0,40.0,12.0,45.2,9.0,48.0
126,53.0,40.0,15.0,47.2,9.0,53.0
127,50.0,41.0,17.0,53.0,9.0,53.0
128,69.0,42.0,17.2,47.0,14.0,69.0
129,80.0,41.0,19.0,37.0,7.0,80.0
130,82.0,44.0,21.0,78.0,9.0,82.0
131,84.0,42.0,10.0,93.0,10.0,93.0
132,70.0,42.0,11.0,76.0,8.0,76.0
133,71.0,41.0,13.0,67.0,10.0,71.0
134,85.0,46.0,12.0,83.0,10.0,85.0
135,88.0,44.0,12.0,93.0,9.0,93.0
136,102.0,44.0,15.0,55.6,15.0,102.0
137,76.0,42.0,8.0,73.0,7.0,76.0
138,83.0,44.0,15.0,77.0,9.0,83.0
139,91.0,44.0,8.0,84.0,10.0,91.0
140,80.0,46.0,10.0,56.0,15.0,80.0
141,65.0,45.0,6.0,56.0,8.0,65.0
142,70.0,44.0,7.0,75.0,11.0,75.0
143,82.0,44.0,9.0,68.0,9.0,82.0
144,95.0,44.0,7.0,67.2,7.0,95.0
145,83.0,45.0,9.0,68.0,8.0,83.0
146,107.0,46.0,21.2,98.0,18.0,107.0
147,63.0,46.0,13.0,62.0,7.0,63.0
148,63.0,43.0,13.0,54.8,5.0,63.0
149,62.0,48.0,18.0,54.6,8.0,62.0
150,56.0,45.0,11.0,52.6,6.0,56.0
151,30.0,41.0,11.0,24.0,6.0,41.0
152,57.0,43.0,22.0,67.0,9.0,67.0
153,81.0,45.0,23.0,65.8,9.0,81.0
154,80.0,47.0,27.0,70.8,13.0,80.0
155,82.0,45.0,21.0,72.0,10.0,82.0
156,53.0,44.0,16.0,65.0,13.0,65.0
157,60.0,48.0,12.0,51.0,7.0,60.0
158,68.0,49.0,15.0,54.2,10.0,68.0
159,69.0,47.0,16.0,57.4,11.0,69.0
160,73.0,46.0,16.0,82.0,8.0,82.0
161,80.0,46.0,23.0,73.2,11.0,80.0
162,67.0,47.0,14.0,45.0,9.0,67.0
163,84.0,46.0,23.0,70.6,11.0,84.0
164,54.0,44.0,16.0,48.6,11.0,54.0
165,74.0,47.0,17.0,62.2,9.0,74.0
166,74.0,47.0,19.0,58.2,6.0,74.0
167,67.0,48.0,12.0,63.0,7.0,67.0
168,55.0,44.0,20.0,70.0,9.0,70.0
169,65.0,47.0,15.0,81.0,7.0,81.0
170,66.0,49.0,13.0,95.0,8.0,95.0
171,78.0,48.0,20.0,65.4,8.0,78.0
172,91.0,48.0,23.0,77.8,8.0,91.0
173,109.0,46.0,25.0,82.2,6.0,109.0
174,60.0,46.0,13.0,56.2,5.0,60.0
175,66.0,47.0,29.0,54.2,4.0,66.0
176,22.0,44.0,8.0,29.0,3.0,44.0
177,20.0,44.0,7.0,35.0,3.0,44.0
178,57.0,44.0,27.0,50.4,6.0,57.0
179,42.0,44.0,13.0,34.8,5.0,44.0
180,28.0,44.0,8.0,36.0,4.0,44.0
181,41.0,44.0,16.0,41.0,7.0,44.0
182,54.0,47.0,10.0,39.0,5.0,54.0
183,51.0,46.0,8.0,43.0,5.0,51.0
184,65.0,47.0,12.0,58.0,7.0,65.0
185,70.0,47.0,12.0,72.0,5.0,72.0
186,59.0,49.0,11.0,87.0,7.0,87.0
187,89.0,49.0,19.0,69.0,8.0,89.0
188,93.0,48.0,31.0,79.0,11.0,93.0
189,62.0,47.0,13.0,65.0,6.0,65.0
190,46.0,47.0,13.0,63.0,10.0,63.0
191,61.0,50.0,18.0,51.0,15.0,61.0
192,53.0,50.0,11.0,71.0,9.0,71.0
193,57.0,50.0,16.0,54.2,9.0,57.0
