,PM10,SO2,CO,O3,NO2,Max
1570,0.2754491017964072,0.6285714285714286,0.08653846153846154,0.14583333333333334,0.16981132075471697,0.47715736040609136
1571,0.2634730538922156,0.6142857142857142,0.06730769230769232,0.15104166666666666,0.1509433962264151,0.45685279187817257
1572,0.31137724550898205,0.5857142857142856,0.125,0.11458333333333334,0.1509433962264151,0.5228426395939086
1573,0.2874251497005988,0.6142857142857142,0.06730769230769232,0.15104166666666666,0.1509433962264151,0.5025380710659898
1574,0.32934131736526945,0.24285714285714283,0.09615384615384615,0.13541666666666666,0.2169811320754717,0.5685279187817258
1575,0.31736526946107785,0.44285714285714284,0.09615384615384615,0.13541666666666666,0.1792452830188679,0.4974619289340101
1576,0.3652694610778443,0.5,0.1346153846153846,0.078125,0.1509433962264151,0.5888324873096447
1577,0.31137724550898205,0.5,0.07692307692307693,0.08854166666666666,0.12264150943396226,0.5939086294416244
1578,0.37724550898203596,0.5142857142857142,0.07692307692307693,0.11458333333333334,0.11320754716981132,0.700507614213198
1579,0.2574850299401198,0.5,0.05769230769230769,0.11979166666666666,0.1509433962264151,0.47715736040609136
1580,0.23353293413173654,0.5,0.08653846153846154,0.09375,0.16981132075471697,0.3959390862944162
1581,0.2694610778443114,0.48571428571428565,0.08653846153846154,0.109375,0.1509433962264151,0.4314720812182741
1582,0.2754491017964072,0.5,0.11153846153846153,0.109375,0.11320754716981132,0.4619289340101522
1583,0.25149700598802394,0.5142857142857142,0.11730769230769231,0.08854166666666666,0.08490566037735849,0.45177664974619286
1584,0.29341317365269465,0.5285714285714286,0.12115384615384614,0.08854166666666666,0.10377358490566038,0.482233502538071
1585,0.37125748502994016,0.5571428571428572,0.11538461538461539,0.06249999999999999,0.11320754716981132,0.5736040609137055
1586,0.3652694610778443,0.5142857142857142,0.16346153846153846,0.08333333333333334,0.18867924528301885,0.5939086294416244
1587,0.25149700598802394,0.5,0.03846153846153847,0.11458333333333334,0.14150943396226415,0.3908629441624365
1588,0.23353293413173654,0.5142857142857142,0.1826923076923077,0.10416666666666666,0.1792452830188679,0.3959390862944162
1589,0.2634730538922156,0.5285714285714286,0.05769230769230769,0.125,0.1320754716981132,0.4416243654822335
1590,0.20359281437125748,0.5,0.028846153846153848,0.13541666666666666,0.09433962264150943,0.33502538071065985
1591,0.17964071856287428,0.5,0.03846153846153847,0.13541666666666666,0.10377358490566038,0.3705583756345177
1592,0.31736526946107785,0.5142857142857142,0.04807692307692308,0.13541666666666666,0.09433962264150943,0.5177664974619289
1593,0.32934131736526945,0.5,0.05769230769230769,0.11458333333333334,0.09433962264150943,0.532994923857868
1594,0.37724550898203596,0.48571428571428565,0.09615384615384615,0.09895833333333334,0.11320754716981132,0.5685279187817258
1595,0.23353293413173654,0.5142857142857142,0.0,0.11458333333333334,0.0660377358490566,0.38578680203045684
1596,0.29940119760479045,0.5142857142857142,0.12692307692307692,0.057291666666666664,0.11320754716981132,0.45177664974619286
1597,0.25149700598802394,0.5,0.04807692307692308,0.10416666666666666,0.1320754716981132,0.46700507614213194
1598,0.22155688622754494,0.5,0.009615384615384616,0.11979166666666666,0.1509433962264151,0.3756345177664974
1599,0.16167664670658682,0.48571428571428565,0.06346153846153846,0.140625,0.16037735849056603,0.2893401015228426
1600,0.29341317365269465,0.5285714285714286,0.06730769230769232,0.10416666666666666,0.20754716981132074,0.5025380710659898
1601,0.2874251497005988,0.48571428571428565,0.05769230769230769,0.125,0.16981132075471697,0.5228426395939086
1602,0.2574850299401198,0.5,0.05769230769230769,0.11458333333333334,0.1792452830188679,0.482233502538071
1603,0.24550898203592814,0.42857142857142855,0.10192307692307692,0.16145833333333334,0.1981132075471698,0.4314720812182741
1604,0.31137724550898205,0.5857142857142856,0.2692307692307692,0.13020833333333334,0.2358490566037736,0.5431472081218274
1605,0.3592814371257485,0.7857142857142857,0.22115384615384615,0.14583333333333334,0.2169811320754717,0.598984771573604
1606,0.17964071856287428,0.6714285714285714,0.03846153846153847,0.16666666666666666,0.1981132075471698,0.34517766497461927
1607,0.2574850299401198,0.5142857142857142,0.05769230769230769,0.11979166666666666,0.1792452830188679,0.47208121827411165
1608,0.22754491017964074,0.5571428571428572,0.028846153846153848,0.109375,0.16037735849056603,0.4010152284263959
1609,0.2634730538922156,0.5428571428571428,0.07692307692307693,0.109375,0.1792452830188679,0.47208121827411165
1610,0.2694610778443114,0.5428571428571428,0.06730769230769232,0.125,0.2358490566037736,0.4619289340101522
1611,0.20958083832335328,0.5571428571428572,0.11538461538461539,0.109375,0.20754716981132074,0.36548223350253806
1612,0.281437125748503,0.5571428571428572,0.05769230769230769,0.16666666666666666,0.2169811320754717,0.47208121827411165
1613,0.31736526946107785,0.5571428571428572,0.10384615384615384,0.16145833333333334,0.27358490566037735,0.532994923857868
1614,0.30538922155688625,0.5571428571428572,0.1076923076923077,0.16145833333333334,0.18867924528301885,0.5076142131979695
1615,0.25149700598802394,0.5571428571428572,0.07692307692307693,0.140625,0.1792452830188679,0.45177664974619286
1616,0.29940119760479045,0.5857142857142856,0.03846153846153847,0.1875,0.1509433962264151,0.5076142131979695
1617,0.2694610778443114,0.5571428571428572,0.07692307692307693,0.16145833333333334,0.20754716981132074,0.47208121827411165
1618,0.2634730538922156,0.5571428571428572,0.05769230769230769,0.171875,0.1792452830188679,0.47208121827411165
1619,0.22754491017964074,0.5571428571428572,0.05769230769230769,0.16666666666666666,0.18867924528301885,0.4365482233502538
1620,0.29940119760479045,0.6,0.11538461538461539,0.13020833333333334,0.2641509433962264,0.5228426395939086
1621,0.3353293413173653,0.5857142857142856,0.12307692307692308,0.11458333333333334,0.25471698113207547,0.5482233502538071
1622,0.3353293413173653,0.5,0.05769230769230769,0.140625,0.25471698113207547,0.5482233502538071
1623,0.31137724550898205,0.5428571428571428,0.05769230769230769,0.15625,0.2358490566037736,0.5025380710659898
1624,0.2574850299401198,0.3571428571428571,0.09615384615384615,0.13020833333333334,0.2169811320754717,0.47208121827411165
1625,0.22155688622754494,0.48571428571428565,0.08653846153846154,0.140625,0.20754716981132074,0.40609137055837563
1626,0.30538922155688625,0.4714285714285714,0.09615384615384615,0.11979166666666666,0.18867924528301885,0.5228426395939086
1627,0.32934131736526945,0.5714285714285714,0.09615384615384615,0.08854166666666666,0.22641509433962265,0.5634517766497461
